,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,height_diff,age_diff,rank_diff,rank_points_diff,Win%_diff,bestof_diff,minutes_diff,svpt%_diff,1st_serve%_diff,1st_serve_won%_diff,2nd_serve_won%_diff,ace%_diff,df%_diff,bp_faced%_diff,bp_saved%_diff,Same_handedness,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
31,Guillermo Coria,Roger Federer,2005,159,64.0000000000,8.0000000000,103909.0000000000,103819.0000000000,0.0000000000,0.0000000000,-0.9760312317,-0.0831173508,0.5509781547,-1.0870780010,-0.6927757392,0.0457773709,1.0913337527,-1.3895652937,1.2893298874,-1.4613617383,-1.3113247887,-1.3778724655,0.2602077311,1.3769273464,-0.3349689521,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
32,Nikolay Davydenko,Roger Federer,2005,159,64.0000000000,4.0000000000,103786.0000000000,103819.0000000000,0.0000000000,0.0000000000,-0.6786827465,0.0622609852,1.4493453164,-1.3316952575,-1.5915081752,0.7713234915,0.4247895434,-0.8799994708,0.7906172005,-2.2014748004,-0.9191948340,-1.2927887656,-0.0117802964,1.7301701349,0.9019911845,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
33,Fernando Gonzalez,Mario Ancic,2005,131,64.0000000000,32.0000000000,103602.0000000000,104339.0000000000,0.0000000000,0.0000000000,-1.2733797168,0.8847787630,0.4761142246,-0.0224937165,-0.2231234519,0.2983320904,-0.5598193175,-2.1638821313,-0.0601388175,-1.2349918038,0.3142886477,-1.1449344952,1.3786968520,1.4895564262,-0.1711443902,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
34,Nicolas Kiefer,Gaston Gaudio,2005,131,64.0000000000,32.0000000000,103017.0000000000,103292.0000000000,0.0000000000,0.0000000000,0.8080596793,0.3562477520,1.8985288973,-0.2908238703,0.7192342253,-0.4667751781,-1.5781098256,0.6296531175,-1.1540302609,1.9447015213,0.1855986363,0.9273132182,1.0445596911,-0.4551966597,-0.2005557726,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
35,Roger Federer,Fernando Gonzalez,2005,131,64.0000000000,16.0000000000,103819.0000000000,103602.0000000000,0.0000000000,0.0000000000,0.2133627089,-0.2233264025,-1.8446676098,1.3229011941,1.9648060219,1.1803523079,0.3064292523,0.1499485763,0.0758198391,1.2366955779,2.8147343422,0.7821097934,-2.1788177824,-2.6088757023,-0.4402345468,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
36,Gaston Gaudio,Rafael Nadal,2005,131,64.0000000000,8.0000000000,103292.0000000000,104745.0000000000,0.0000000000,0.0000000000,-0.9760312317,1.7848315589,-0.7965725878,0.2158833039,-1.4982724960,-1.6760911903,-1.7812901816,1.7401664428,-0.6497959408,-0.9719973966,-2.9521671810,-0.0441782560,0.6654176561,2.1279558886,3.0472764707,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
37,Rafael Nadal,Guillermo Coria,2005,131,64.0000000000,2.0000000000,104745.0000000000,103909.0000000000,0.0000000000,0.0000000000,1.0062920027,-1.0161224469,0.6258420849,-0.1797476671,-0.2684971726,0.4548408421,2.9651411871,-0.9887715806,-0.3407576457,0.2687114330,1.4759232343,0.0240077334,-0.1176091792,-1.3485782894,-2.4040004643,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
38,Tim Henman,Taylor Dent,2005,317,48.0000000000,64.0000000000,102450.0000000000,103758.0000000000,0.0000000000,0.0000000000,-0.2822180997,1.5838862475,-0.1227972166,-0.0025249609,0.8225360758,-1.6555182750,0.3743581497,-1.2475220213,0.4763032122,-0.6222998403,2.1981083028,-0.5199592245,-3.4944346153,-1.2286586356,-0.8269521083,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
39,Max Mirnyi,Juan Carlos Ferrero,2005,317,48.0000000000,64.0000000000,103018.0000000000,103507.0000000000,0.0000000000,0.0000000000,1.3036404878,0.6334359965,0.7007060150,-0.0786558417,-0.6397529353,-2.0231140442,-1.9804883131,1.5760584189,-0.3905510692,1.1358195847,-0.4421026211,0.6119156371,2.2922028004,-1.1225100048,-2.2870747647,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,1.0000000000
40,Tim Henman,Radek Stepanek,2005,317,48.0000000000,32.0000000000,102450.0000000000,103285.0000000000,0.0000000000,0.0000000000,0.0151303855,1.0159418029,0.9252978054,-0.1061128807,-0.0836297789,0.2726223966,-0.9107953088,-0.8532634840,-0.9897173991,-0.0085104759,0.7869673912,-0.5715817742,0.7006826662,-0.1259890573,-1.2236614669,1.0000000000,0.0000000000,0.0000000000,0.0000000000,1.0000000000,0.0000000000
