,PlayerA_name,PlayerB_name,Year,Day,draw_size,round,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,height_diff,age_diff,rank_diff,rank_points_diff,Win%_diff,bestof_diff,minutes_diff,svpt%_diff,1st_serve%_diff,1st_serve_won%_diff,2nd_serve_won%_diff,ace%_diff,df%_diff,bp_faced%_diff,bp_saved%_diff,Same_handedness,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,PlayerA Win
31,Kenneth Carlsen,Albert Costa,1998,175,128.0000000000,128.0000000000,102202.0000000000,102610.0000000000,0.0000000000,0.0000000000,1.0363351670,0.5456800005,1.2348735611,-0.3513758517,-1.7137326629,0.0000000000,0.7286513396,1.4402208709,-2.2159435465,0.2643375832,-1.2468523018,0.1364637909,-0.1183981201,0.4114927287,-1.0898327854,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
32,Richard Fromberg,Jim Courier,1998,175,128.0000000000,128.0000000000,101735.0000000000,101793.0000000000,0.0000000000,0.0000000000,1.1444126135,0.0962460372,-0.1931449297,0.0682330001,-1.3926318624,0.0000000000,-2.1118158351,2.7064631783,-0.2310016666,-0.2362585866,-1.1102801703,0.9115608393,-0.0212234516,0.1472320460,0.1624743612,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
33,Juan Albert Viloca Puig,Javier Sanchez,1998,175,128.0000000000,128.0000000000,102167.0000000000,101439.0000000000,0.0000000000,0.0000000000,0.7121028275,-1.1599470886,0.0776861633,0.0391733308,1.4022081653,0.0000000000,-2.4189542582,0.7295254330,-1.2389732960,0.2435475988,-0.2627087832,0.2828444501,1.5018615060,-0.0089197185,-1.0716328556,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
34,Hicham Arazi,Jiri Novak,1998,175,128.0000000000,128.0000000000,102271.0000000000,102562.0000000000,0.0000000000,0.0000000000,-1.6656009952,0.3627709459,-0.9810172005,0.1557313452,1.2244341866,0.0000000000,-0.1421605695,0.3382535043,-3.2296477105,1.4995007767,2.8239349364,0.3169488446,1.3494519687,-0.7352368993,0.8920503969,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
35,Paul Haarhuis,Jeff Tarango,1998,175,128.0000000000,128.0000000000,101235.0000000000,101543.0000000000,0.0000000000,0.0000000000,0.8201802740,0.6802494969,0.8655584342,-0.0492830253,0.2555177625,0.0000000000,-1.0450342371,-0.7867985965,-0.1327046595,0.7268796652,1.5805182497,0.5731081889,-1.0045323825,-1.2661206865,-0.8218648949,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
36,Felix Mantilla,Byron Black,1998,175,128.0000000000,64.0000000000,102456.0000000000,101647.0000000000,0.0000000000,0.0000000000,0.4959479346,-1.1606006096,-0.8332911498,0.4070495844,0.5865453831,0.0000000000,-1.1067767800,-0.8930674387,1.8040201547,0.2309323974,1.1541930114,-0.1867183348,-1.1099518909,-0.1628236919,1.7905593146,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
37,Mark Philippoussis,Bohdan Ulihrach,1998,175,128.0000000000,64.0000000000,102882.0000000000,102539.0000000000,0.0000000000,0.0000000000,0.8201802740,-0.3832367697,-0.8086701413,0.2965589735,0.4474715903,0.0000000000,0.4084565392,4.2905487127,0.7467635266,1.5092305825,-0.4412453106,1.9896406181,0.9305393175,-1.0234343725,2.3173863204,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
38,Marc Kevin Goellner,Albert Costa,1998,175,128.0000000000,64.0000000000,101806.0000000000,102610.0000000000,0.0000000000,0.0000000000,1.6847998459,1.1584252618,1.6780517134,-0.4078985052,-1.2434634585,0.0000000000,1.0166602151,1.2877939865,-1.1250892588,1.2439506740,-0.2877478125,1.7258958516,0.3273932019,-0.8466479839,-0.8318701933,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
39,David Prinosil,Magnus Gustafsson,1998,175,128.0000000000,64.0000000000,102184.0000000000,101320.0000000000,0.0000000000,0.0000000000,-0.0444392979,-1.4506420150,1.8503987727,-0.2156576157,-0.8053591299,0.0000000000,-0.7046429167,1.9938971253,-1.7789325337,-1.3172793604,-0.2300307974,0.3696108241,0.5748589138,1.1863355079,-1.8727245623,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
40,Patrick Rafter,Jason Stoltenberg,1998,175,128.0000000000,64.0000000000,102158.0000000000,101727.0000000000,0.0000000000,0.0000000000,-0.0444392979,-0.6288575956,-1.4241953529,0.7883379932,0.0566146773,0.0000000000,0.9226754699,0.4227038658,-0.1312341628,0.3209067820,0.4866459514,-0.9270740317,0.6067602016,-1.0664554630,0.1408628143,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
41,Wayne Ferreira,Marcelo Rios,1998,175,128.0000000000,32.0000000000,101965.0000000000,102701.0000000000,0.0000000000,0.0000000000,1.0363351670,1.0447608026,0.6439693580,-0.6742255847,-0.2919402113,0.0000000000,0.9494158576,1.1269875020,1.0271645998,-0.6632785587,-1.0446263567,0.4065468326,-0.5938859780,0.3339972160,-0.6926736601,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
42,Albert Costa,Bohdan Ulihrach,1998,175,128.0000000000,32.0000000000,102610.0000000000,102539.0000000000,0.0000000000,0.0000000000,-0.9090588698,-0.0559596984,-1.0056382090,0.4278064911,0.4474715903,0.0000000000,1.5270726552,2.7250090489,1.7875382006,-0.6193352275,0.0095696957,-0.3641276422,-0.4912762382,0.8711561451,3.3327808568,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
43,Francisco Clavet,Michael Chang,1998,175,128.0000000000,32.0000000000,101532.0000000000,102021.0000000000,0.0000000000,0.0000000000,0.8201802740,0.8180844509,0.6193483495,-0.3098620383,-0.3079371931,0.0000000000,-0.4877829335,-1.3891375357,1.6002865904,-2.0105918173,-0.2244136451,-1.5892303345,-0.2807811623,0.7454454344,-2.0082335960,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
44,Magnus Gustafsson,Jason Stoltenberg,1998,175,128.0000000000,32.0000000000,101320.0000000000,101727.0000000000,0.0000000000,0.0000000000,-0.0444392979,0.7991404539,-0.8579121582,0.2199180874,0.0659191290,0.0000000000,1.3492220003,-1.9351990874,1.3266625095,-0.1200733990,-0.3979705310,-1.0993625776,-0.2633923372,0.3108020958,1.3504364783,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
45,Richard Krajicek,Cedric Pioline,1998,175,128.0000000000,32.0000000000,101990.0000000000,101611.0000000000,0.0000000000,0.0000000000,0.8201802740,-0.5667986295,-0.1931449297,0.1442352123,0.3691107699,0.0000000000,-0.5984881767,0.7577279249,0.2279060733,1.8586203029,-0.0932207595,1.6211333696,-0.0713969485,-1.3176891827,-0.7216770896,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
46,Marcelo Rios,Albert Costa,1998,175,128.0000000000,16.0000000000,102701.0000000000,102610.0000000000,0.0000000000,0.0000000000,-0.5848265303,-0.0964617764,-0.2670079551,0.5236075988,0.4163856470,0.0000000000,-0.7589839478,0.4640685953,-2.3762119448,1.1673026481,-0.0141600150,0.2777296576,0.9048576606,-0.7146228061,0.0377274910,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
47,Jason Stoltenberg,Alex Corretja,1998,175,128.0000000000,16.0000000000,101727.0000000000,102374.0000000000,0.0000000000,0.0000000000,0.4959479346,0.9827023137,1.1610105357,-0.3373250225,-0.8816330075,0.0000000000,-0.8371207743,0.0198891464,0.1683545806,-0.5582442988,-0.7510646405,0.6767748842,-0.0756358560,0.1998936489,-1.5730391627,1.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
48,Hicham Arazi,Alberto Berasategui,1998,175,128.0000000000,16.0000000000,102271.0000000000,102238.0000000000,0.0000000000,0.0000000000,0.1717155951,-0.0500811110,0.6932113749,-0.2938951870,0.9057880459,0.0000000000,0.7834791994,1.6241505627,-2.9142608836,1.5687034862,0.3009496867,1.0176254149,0.6053785730,-0.3851173644,-0.0331743234,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
49,Felix Mantilla,Thomas Muster,1998,175,128.0000000000,8.0000000000,102456.0000000000,101404.0000000000,0.0000000000,0.0000000000,-0.0444392979,-1.6407369376,-0.2177659382,0.2023545509,-0.5857153054,0.0000000000,-1.5287811735,0.5537073872,0.2889618473,0.7556749902,0.8341593882,0.4510496157,-0.1674778690,-0.5375651430,1.0969661320,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
50,Carlos Moya,Marcelo Rios,1998,175,128.0000000000,8.0000000000,102845.0000000000,102701.0000000000,0.0000000000,0.0000000000,1.5767223994,-0.1363091404,0.2007912057,-0.4091758533,-1.6260183387,0.0000000000,-0.0031715507,-1.8590150299,2.4895970750,-0.9110635118,-1.5379695936,-1.0950575029,-0.2533757848,0.4708814477,-1.5991780785,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,1.0000000000
51,Hicham Arazi,Cedric Pioline,1998,175,128.0000000000,8.0000000000,102271.0000000000,101611.0000000000,0.0000000000,0.0000000000,-1.4494461022,-1.0129666580,0.6685903665,-0.2897438057,0.5934773259,0.0000000000,-1.2807721353,0.6627992950,-0.5904289604,0.0789381886,0.1394522357,-0.0953101177,0.2725700718,-0.3888400412,-0.2098129869,0.0000000000,0.0000000000,1.0000000000,0.0000000000,0.0000000000,0.0000000000
