,PlayerA_name,PlayerB_name,tourney_date,PlayerA_id,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerB_id,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,best_of,minutes,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,surface_Carpet,surface_Clay,surface_Grass,surface_Hard,draw_size_4.0,draw_size_8.0,draw_size_9.0,draw_size_10.0,draw_size_12.0,draw_size_16.0,draw_size_28.0,draw_size_32.0,draw_size_48.0,draw_size_56.0,draw_size_64.0,draw_size_96.0,draw_size_128.0,tourney_level_A,tourney_level_D,tourney_level_F,tourney_level_G,tourney_level_M,PlayerA_hand_L,PlayerA_hand_R,PlayerB_hand_L,PlayerB_hand_R,round_BR,round_F,round_QF,round_R128,round_R16,round_R32,round_R64,round_RR,round_SF,PlayerA Win
19240,THOMAS ENQVIST,RICHARD KRAJICEK,19980202,102358,190,24,29,1221,101990,196,26,9,2299,3,118,10,4,101,62,48,19,16,3,4,15,2,99,60,43,20,14,7,10,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1
19241,THOMAS ENQVIST,YEVGENY KAFELNIKOV,19980202,102358,190,24,29,1221,102338,190,24,7,2690,3,58,5,4,39,11,10,20,8,2,3,6,4,63,35,20,9,9,9,14,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
19272,PETE SAMPRAS,THOMAS ENQVIST,19980223,101948,185,27,1,3700,102358,190,24,29,1293,3,84,8,2,70,36,30,20,12,1,3,14,2,64,32,23,18,12,2,5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1
19275,CEDRIC PIOLINE,MARC ROSSET,19980309,101611,188,29,16,1932,101820,201,27,29,1314,3,61,6,2,48,34,29,11,10,0,0,3,2,40,19,15,13,9,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
19276,MAGNUS NORMAN,ALEX CORRETJA,19980309,102796,188,22,23,1465,102374,180,24,9,2551,3,91,6,4,76,35,27,24,11,4,4,7,4,58,31,24,13,10,3,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
19277,ANDREI MEDVEDEV,GORAN IVANISEVIC,19980309,102446,193,24,28,1322,101964,193,26,21,1532,3,118,14,6,96,62,49,17,16,3,6,15,5,121,72,56,25,16,14,15,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1
19281,ALBERT COSTA,FELIX MANTILLA,19980309,102610,180,23,22,1516,102456,180,23,13,2108,3,112,2,2,91,71,55,10,15,6,7,6,1,92,63,43,17,14,9,11,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
19293,NICOLAS KIEFER,GUSTAVO KUERTEN,19980309,103017,183,21,27,1323,102856,190,21,11,2250,3,121,8,6,98,51,41,25,15,2,4,4,3,109,59,37,26,15,5,10,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1
19298,THOMAS MUSTER,CEDRIC PIOLINE,19980309,101404,180,30,20,1611,101611,188,29,16,1932,3,112,4,1,104,60,42,21,15,9,12,11,1,78,50,38,12,14,4,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1
19299,ANDREI MEDVEDEV,MAGNUS NORMAN,19980309,102446,193,24,28,1322,102796,188,22,23,1465,3,118,13,7,95,50,43,24,14,4,4,7,5,101,41,28,30,13,3,7,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19302,THOMAS ENQVIST,ALBERT COSTA,19980309,102358,190,24,25,1367,102610,180,23,22,1516,3,63,11,6,62,34,24,16,10,1,3,1,0,50,37,19,6,9,2,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19303,CARLOS MOYA,KAROL KUCERA,19980309,102845,190,22,18,1660,102344,188,24,12,2171,3,102,3,0,72,43,26,17,11,3,7,4,8,108,60,34,24,11,16,21,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1
19313,THOMAS MUSTER,PETE SAMPRAS,19980309,101404,180,30,20,1611,101948,185,27,1,3716,3,71,8,0,63,40,31,10,10,4,5,11,5,62,36,30,8,11,5,9,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1
