PlayerA_name,PlayerB_name,Year,Day,best_of,draw_size,round,minutes,PlayerA_id,PlayerB_id,PlayerA_FR,PlayerB_FR,PlayerA_righthanded,PlayerB_righthanded,PlayerA_height,PlayerA_age,PlayerA_rank,PlayerA_rank_points,PlayerA_ace,PlayerA_df,PlayerA_svpt,PlayerA_1stIn,PlayerA_1stWon,PlayerA_2ndWon,PlayerA_SvGms,PlayerA_bpSaved,PlayerA_bpFaced,PlayerB_height,PlayerB_age,PlayerB_rank,PlayerB_rank_points,PlayerB_ace,PlayerB_df,PlayerB_svpt,PlayerB_1stIn,PlayerB_1stWon,PlayerB_2ndWon,PlayerB_SvGms,PlayerB_bpSaved,PlayerB_bpFaced,PlayerA Win,surface_Carpet,surface_Clay,surface_Grass,surface_Hard
Fernando Verdasco,Marius Copil,2019,4,0,28,0,104,0,0,0,0,0,1,0,34.781656,0,0,10,3,73,41,29,15,12,4,8,0,27.86037,0,0,8,4,82,51,38,19,13,4,5,1,0,0,0,1
Ernests Gulbis,Marius Copil,2019,4,0,28,0,72,0,0,0,0,1,1,0,27.824778000000002,0,0,5,2,67,42,24,14,9,9,12,0,27.86037,0,0,12,0,43,27,23,13,9,0,0,1,0,0,0,1
Diego Sebastian Schwartzman,Guillermo Garcia Lopez,2019,31,0,28,0,69,0,0,0,0,1,1,0,26.028747,0,0,1,3,44,22,18,14,8,0,1,0,35.211498999999996,0,0,2,3,57,37,19,9,9,7,12,1,0,0,0,1
Marcel Granollers,Guillermo Garcia Lopez,2019,25,0,32,0,107,0,0,0,0,1,1,0,31.071869,0,0,5,1,84,55,36,14,13,4,8,0,35.211498999999996,0,0,6,2,70,42,30,18,13,2,4,1,0,0,0,1
Sam Querrey,Guillermo Garcia Lopez,2019,25,0,32,0,62,0,0,0,0,1,1,0,30.926762,0,0,15,3,44,30,29,8,9,0,0,0,35.211498999999996,0,0,3,4,67,44,28,8,8,8,11,1,0,0,0,1
Robin Haase,Guillermo Garcia Lopez,2019,7,0,28,0,135,0,0,0,0,1,1,0,31.392196999999996,0,0,9,3,109,59,47,26,17,4,5,0,35.211498999999996,0,0,5,5,101,64,46,19,17,6,10,1,0,0,0,1
Diego Sebastian Schwartzman,Alessandro Giannessi,2019,14,0,128,0,141,0,0,0,0,1,0,0,26.028747,0,0,3,5,94,72,51,6,14,4,7,0,27.132101000000002,0,0,4,5,101,68,43,8,13,13,20,1,0,0,0,1
Diego Sebastian Schwartzman,Dominic Thiem,2019,11,0,28,0,151,0,0,0,0,1,1,0,26.028747,0,0,2,4,100,76,49,9,15,2,8,0,25.037645,0,0,1,8,104,80,47,8,15,3,10,1,0,0,0,1
Guillermo Garcia Lopez,John Millman,2019,11,0,32,0,128,0,0,0,0,1,1,0,35.211498999999996,0,0,4,0,88,59,45,17,14,5,6,0,29.201915999999997,0,0,8,0,94,55,39,26,15,3,6,1,0,0,0,1
Gilles Simon,John Millman,2019,31,0,28,0,162,0,0,0,0,1,1,0,33.722108,0,0,5,0,119,78,49,22,17,8,12,0,29.201915999999997,0,0,2,1,90,60,42,17,16,5,9,1,0,0,0,1
John Isner,John Millman,2019,25,0,32,0,185,0,0,0,0,1,1,0,33.336071000000004,0,0,38,0,107,85,69,14,18,1,2,0,29.201915999999997,0,0,9,7,138,81,58,34,18,7,8,1,0,0,0,1
Nick Kyrgios,John Millman,2019,18,0,28,0,124,0,0,0,0,1,1,0,23.334702,0,0,19,11,111,65,55,23,17,1,1,0,29.201915999999997,0,0,8,0,97,70,54,19,17,0,1,1,0,0,0,1
Grigor Dimitrov,John Millman,2019,31,0,32,0,88,0,0,0,0,1,1,0,27.282683000000002,0,0,6,2,63,35,27,13,10,2,4,0,29.201915999999997,0,0,1,1,55,37,18,10,9,3,7,1,0,0,0,1
Roberto Bautista Agut,John Millman,2019,7,0,28,0,228,0,0,0,0,1,1,0,30.425735999999997,0,0,10,2,148,105,74,24,23,6,9,0,29.201915999999997,0,0,12,4,169,110,71,29,24,10,17,1,0,0,0,1
Federico Delbonis,John Millman,2019,7,0,96,0,149,0,0,0,0,0,1,0,27.797399,0,0,5,5,102,67,44,20,16,2,6,0,29.201915999999997,0,0,3,3,113,63,43,25,17,6,10,1,0,0,0,1
Pierre Hugues Herbert,Sam Querrey,2019,7,0,28,0,158,0,0,0,0,1,1,0,27.444215999999997,0,0,21,3,116,73,56,28,20,5,7,0,30.926762,0,0,23,8,138,84,64,20,20,10,15,1,0,0,0,1
Gilles Simon,Sam Querrey,2019,31,0,28,0,133,0,0,0,0,1,1,0,33.722108,0,0,22,5,102,64,55,14,17,1,5,0,30.926762,0,0,5,0,111,77,61,14,17,6,9,1,0,0,0,1
Milos Raonic,Sam Querrey,2019,25,0,28,0,104,0,0,0,0,1,1,0,27.665982,0,0,10,5,77,43,31,18,11,4,5,0,30.926762,0,0,18,7,79,37,30,27,11,4,4,1,0,1,0,0
John Isner,Sam Querrey,2019,25,0,32,0,66,0,0,0,0,1,1,0,33.336071000000004,0,0,19,0,46,31,29,11,10,0,0,0,30.926762,0,0,14,8,67,35,26,16,10,2,4,1,0,0,0,1
David Ferrer,Sam Querrey,2019,7,0,96,0,74,0,0,0,0,1,1,0,36.364134,0,0,9,6,59,36,28,3,8,5,9,0,30.926762,0,0,0,0,57,42,34,4,9,6,7,1,0,0,0,1
Pierre Hugues Herbert,Tomas Berdych,2019,4,0,28,0,93,0,0,0,0,1,1,0,27.444215999999997,0,0,5,3,62,32,27,18,10,3,3,0,32.750171,0,0,2,5,62,30,21,17,10,4,7,1,0,1,0,0
Feliciano Lopez,Tomas Berdych,2019,25,0,28,0,117,0,0,0,0,0,1,0,36.837782000000004,0,0,4,4,82,54,43,13,12,0,0,0,32.750171,0,0,15,2,98,57,46,20,12,4,4,1,0,1,0,0
Rafael Nadal,Tomas Berdych,2019,7,0,28,0,125,0,0,0,0,0,1,0,32.232717,0,0,5,1,81,56,45,16,13,2,2,0,32.750171,0,0,5,3,78,37,26,18,12,8,13,1,0,0,0,1
Mikhail Kukushkin,Robin Haase,2019,4,0,28,0,90,0,0,0,0,1,1,0,30.726899,0,0,2,0,62,38,30,16,10,1,1,0,31.392196999999996,0,0,6,1,62,39,33,7,10,6,8,1,0,0,0,1
Tomas Berdych,Robin Haase,2019,7,0,28,0,79,0,0,0,0,1,1,0,32.750171,0,0,7,1,62,43,38,14,13,0,0,0,31.392196999999996,0,0,4,2,71,38,25,15,12,2,7,1,0,0,0,1
David Ferrer,Robin Haase,2019,6,0,28,0,62,0,0,0,0,1,1,0,36.364134,0,0,1,4,57,31,15,9,8,3,9,0,31.392196999999996,0,0,3,1,40,28,21,8,7,1,2,1,0,0,0,1
Nikoloz Basilashvili,Robin Haase,2019,7,0,96,0,93,0,0,0,0,1,1,0,26.565365999999997,0,0,14,4,77,51,37,16,11,4,5,0,31.392196999999996,0,0,7,4,72,38,30,15,10,5,7,1,0,0,0,1
Bernard Tomic,Lukas Lacko,2019,11,0,32,0,53,0,0,0,0,1,1,0,24.678987,0,0,6,2,52,36,22,9,9,4,7,0,30.737851000000003,0,0,9,0,52,37,28,10,9,3,3,1,0,0,0,1
John Isner,Lukas Lacko,2019,18,0,28,0,70,0,0,0,0,1,1,0,33.336071000000004,0,0,4,4,71,42,28,15,10,6,9,0,30.737851000000003,0,0,18,0,43,32,31,6,9,2,2,1,0,0,0,1
Robin Haase,Lukas Lacko,2019,7,0,96,0,68,0,0,0,0,1,1,0,31.392196999999996,0,0,8,4,64,41,31,11,9,7,7,0,30.737851000000003,0,0,4,2,49,29,22,7,9,3,6,1,0,0,0,1
Tim Smyczek,Lukas Lacko,2019,7,0,28,0,168,0,0,0,0,1,1,0,30.581792999999998,0,0,14,2,116,69,53,22,16,7,9,0,30.737851000000003,0,0,2,1,133,84,55,26,16,7,9,1,0,0,0,1
Pablo Cuevas,Dusan Lajovic,2019,7,0,28,0,121,0,0,0,0,1,1,0,32.555784,0,0,5,0,80,46,32,22,14,3,5,0,28.158795,0,0,5,4,103,69,46,8,15,8,15,1,0,0,0,1
Feliciano Lopez,Dusan Lajovic,2019,25,0,32,0,157,0,0,0,0,0,1,0,36.837782000000004,0,0,4,0,125,75,47,22,16,11,17,0,28.158795,0,0,14,7,106,50,38,28,16,6,9,1,0,0,0,1
Nick Kyrgios,Dusan Lajovic,2019,7,0,96,0,57,0,0,0,0,1,1,0,23.334702,0,0,12,2,55,38,29,9,8,6,7,0,28.158795,0,0,0,0,46,32,21,2,8,1,6,1,0,0,0,1
Leonardo Mayer,Dusan Lajovic,2019,11,0,28,0,105,0,0,0,0,1,1,0,31.266256,0,0,1,4,84,59,36,8,10,4,8,0,28.158795,0,0,2,5,66,34,26,17,11,1,4,1,0,0,0,1
Marin Cilic,Dusan Lajovic,2019,25,0,28,0,93,0,0,0,0,1,1,0,29.94935,0,0,1,2,70,42,23,15,9,11,15,0,28.158795,0,0,7,1,61,35,27,13,10,4,6,1,0,1,0,0
